,Toll,Vehicle,Type,trxtime
2,B,X25,Tempo,2022-08-21 00:42:00
3,A,X25,Tempo,2022-08-21 03:37:00
0,A,X26,Car,2022-08-20 09:30:00
1,B,X26,Car,2022-08-20 11:52:00
2,C,X26,Car,2022-08-20 12:14:00
3,D,X26,Car,2022-08-20 13:17:00
0,D,X27,Tempo,2022-08-20 14:58:00
1,C,X27,Tempo,2022-08-20 15:54:00
2,B,X27,Tempo,2022-08-20 16:05:00
3,A,X27,Tempo,2022-08-20 19:57:00
0,A,X28,Car,2022-08-20 17:44:00
1,B,X28,Car,2022-08-20 19:56:00
2,C,X28,Car,2022-08-20 20:12:00
3,D,X28,Car,2022-08-20 20:45:00
0,D,X29,Tempo,2022-08-20 14:25:00
1,C,X29,Tempo,2022-08-20 14:53:00
2,B,X29,Tempo,2022-08-20 15:06:00
3,A,X29,Tempo,2022-08-20 18:42:00
0,A,X30,Truck,2022-08-20 19:57:00
1,B,X30,Truck,2022-08-20 22:02:00
2,C,X30,Truck,2022-08-20 22:19:00
3,D,X30,Truck,2022-08-20 22:52:00
0,D,X31,Tempo,2022-08-20 05:49:00
1,C,X31,Tempo,2022-08-20 06:36:00
2,B,X31,Tempo,2022-08-20 06:52:00
3,A,X31,Tempo,2022-08-20 09:33:00
0,A,X32,Truck,2022-08-20 16:33:00
1,B,X32,Truck,2022-08-20 18:05:00
2,C,X32,Truck,2022-08-20 18:21:00
3,D,X32,Truck,2022-08-20 19:29:00
0,D,X33,Car,2022-08-20 05:05:00
1,C,X33,Car,2022-08-20 05:59:00
2,B,X33,Car,2022-08-20 06:26:00
3,A,X33,Car,2022-08-20 09:37:00
0,A,X34,Car,2022-08-20 23:30:00
1,B,X34,Car,2022-08-21 01:29:00
2,C,X34,Car,2022-08-21 01:44:00
3,D,X34,Car,2022-08-21 02:48:00
0,D,X35,Truck,2022-08-20 23:10:00
1,C,X35,Truck,2022-08-21 01:40:00
2,B,X35,Truck,2022-08-21 01:51:00
3,A,X35,Truck,2022-08-21 05:24:00
0,A,X36,Tempo,2022-08-20 21:20:00
1,B,X36,Tempo,2022-08-20 23:10:00
2,C,X36,Tempo,2022-08-20 23:19:00
3,D,X36,Tempo,2022-08-20 23:56:00
0,D,X37,Tempo,2022-08-20 00:11:00
1,C,X37,Tempo,2022-08-20 01:00:00
2,B,X37,Tempo,2022-08-20 01:12:00
3,A,X37,Tempo,2022-08-20 04:09:00
0,A,X38,Truck,2022-08-20 12:47:00
1,B,X38,Truck,2022-08-20 14:20:00
2,C,X38,Truck,2022-08-20 14:39:00
3,D,X38,Truck,2022-08-20 15:40:00
0,D,X39,Car,2022-08-20 05:52:00
1,C,X39,Car,2022-08-20 06:29:00
2,B,X39,Car,2022-08-20 06:51:00
3,A,X39,Car,2022-08-20 10:03:00
0,A,X40,Truck,2022-08-20 08:22:00
1,B,X40,Truck,2022-08-20 10:38:00
2,C,X40,Truck,2022-08-20 10:55:00
3,D,X40,Truck,2022-08-20 11:41:00
0,D,X41,Tempo,2022-08-20 14:17:00
1,C,X41,Tempo,2022-08-20 15:19:00
2,B,X41,Tempo,2022-08-20 15:43:00
3,A,X41,Tempo,2022-08-20 18:51:00
0,A,X42,Tempo,2022-08-20 15:19:00
1,B,X42,Tempo,2022-08-20 16:56:00
2,C,X42,Tempo,2022-08-20 17:09:00
3,D,X42,Tempo,2022-08-20 18:18:00
0,D,X43,Tempo,2022-08-20 19:47:00
1,C,X43,Tempo,2022-08-20 21:02:00
2,B,X43,Tempo,2022-08-20 21:18:00
3,A,X43,Tempo,2022-08-21 00:34:00
0,A,X44,Truck,2022-08-20 22:28:00
1,B,X44,Truck,2022-08-21 00:35:00
2,C,X44,Truck,2022-08-21 00:57:00
3,D,X44,Truck,2022-08-21 01:32:00
0,D,X45,Car,2022-08-20 05:41:00
1,C,X45,Car,2022-08-20 06:21:00
2,B,X45,Car,2022-08-20 06:29:00
3,A,X45,Car,2022-08-20 10:01:00
0,A,X46,Car,2022-08-20 13:00:00
1,B,X46,Car,2022-08-20 15:28:00
2,C,X46,Car,2022-08-20 15:43:00
3,D,X46,Car,2022-08-20 16:52:00
0,D,X47,Tempo,2022-08-20 08:31:00
1,C,X47,Tempo,2022-08-20 09:25:00
2,B,X47,Tempo,2022-08-20 09:45:00
3,A,X47,Tempo,2022-08-20 12:51:00
0,A,X48,Tempo,2022-08-20 12:06:00
1,B,X48,Tempo,2022-08-20 13:53:00
2,C,X48,Tempo,2022-08-20 14:19:00
3,D,X48,Tempo,2022-08-20 15:25:00
0,D,X49,Truck,2022-08-20 16:57:00
1,C,X49,Truck,2022-08-20 19:27:00
2,B,X49,Truck,2022-08-20 19:42:00
3,A,X49,Truck,2022-08-20 23:06:00
0,A,X50,Truck,2022-08-20 21:29:00
1,B,X50,Truck,2022-08-20 23:39:00
2,C,X50,Truck,2022-08-21 00:00:00
3,D,X50,Truck,2022-08-21 01:20:00
0,D,X51,Tempo,2022-08-20 04:28:00
1,C,X51,Tempo,2022-08-20 05:34:00
2,B,X51,Tempo,2022-08-20 05:54:00
3,A,X51,Tempo,2022-08-20 09:10:00
0,A,X52,Car,2022-08-20 08:43:00
1,B,X52,Car,2022-08-20 10:39:00
2,C,X52,Car,2022-08-20 10:53:00
3,D,X52,Car,2022-08-20 11:19:00
0,D,X53,Tempo,2022-08-20 11:17:00
1,C,X53,Tempo,2022-08-20 12:58:00
2,B,X53,Tempo,2022-08-20 13:15:00
3,A,X53,Tempo,2022-08-20 17:31:00
0,A,X54,Tempo,2022-08-20 21:38:00
1,B,X54,Tempo,2022-08-21 00:02:00
2,C,X54,Tempo,2022-08-21 00:17:00
3,D,X54,Tempo,2022-08-21 01:09:00
0,D,X55,Tempo,2022-08-20 15:50:00
1,C,X55,Tempo,2022-08-20 16:49:00
2,B,X55,Tempo,2022-08-20 17:06:00
3,A,X55,Tempo,2022-08-20 20:26:00
0,A,X56,Car,2022-08-20 05:07:00
1,B,X56,Car,2022-08-20 08:08:00
2,C,X56,Car,2022-08-20 08:33:00
3,D,X56,Car,2022-08-20 09:00:00
0,D,X57,Tempo,2022-08-20 17:06:00
1,C,X57,Tempo,2022-08-20 18:30:00
2,B,X57,Tempo,2022-08-20 18:54:00
3,A,X57,Tempo,2022-08-20 22:10:00
0,A,X58,Car,2022-08-20 00:16:00
1,B,X58,Car,2022-08-20 02:22:00
2,C,X58,Car,2022-08-20 02:36:00
3,D,X58,Car,2022-08-20 03:35:00
0,D,X59,Car,2022-08-20 23:37:00
1,C,X59,Car,2022-08-21 00:34:00
2,B,X59,Car,2022-08-21 00:59:00
3,A,X59,Car,2022-08-21 04:37:00
0,A,X60,Tempo,2022-08-20 20:17:00
1,B,X60,Tempo,2022-08-20 21:57:00
2,C,X60,Tempo,2022-08-20 22:14:00
3,D,X60,Tempo,2022-08-20 22:49:00
0,D,X61,Car,2022-08-20 00:50:00
1,C,X61,Car,2022-08-20 01:32:00
2,B,X61,Car,2022-08-20 01:48:00
3,A,X61,Car,2022-08-20 05:07:00
0,A,X62,Tempo,2022-08-20 06:58:00
1,B,X62,Tempo,2022-08-20 09:40:00
2,C,X62,Tempo,2022-08-20 09:55:00
3,D,X62,Tempo,2022-08-20 10:34:00
0,D,X63,Car,2022-08-20 01:32:00
1,C,X63,Car,2022-08-20 02:53:00
2,B,X63,Car,2022-08-20 03:18:00
3,A,X63,Car,2022-08-20 06:42:00
0,A,X64,Truck,2022-08-20 00:37:00
1,B,X64,Truck,2022-08-20 03:49:00
2,C,X64,Truck,2022-08-20 04:11:00
3,D,X64,Truck,2022-08-20 05:12:00
0,D,X65,Car,2022-08-20 12:48:00
1,C,X65,Car,2022-08-20 13:58:00
2,B,X65,Car,2022-08-20 14:20:00
3,A,X65,Car,2022-08-20 17:18:00
0,A,X66,Car,2022-08-20 01:26:00
1,B,X66,Car,2022-08-20 04:10:00
2,C,X66,Car,2022-08-20 04:29:00
3,D,X66,Car,2022-08-20 05:31:00
0,D,X67,Car,2022-08-20 18:48:00
1,C,X67,Car,2022-08-20 19:50:00
2,B,X67,Car,2022-08-20 20:16:00
3,A,X67,Car,2022-08-21 00:12:00
0,A,X68,Truck,2022-08-20 18:17:00
1,B,X68,Truck,2022-08-20 19:48:00
2,C,X68,Truck,2022-08-20 20:04:00
3,D,X68,Truck,2022-08-20 20:55:00
0,D,X69,Truck,2022-08-20 07:34:00
1,C,X69,Truck,2022-08-20 09:52:00
2,B,X69,Truck,2022-08-20 10:11:00
3,A,X69,Truck,2022-08-20 13:02:00
0,A,X70,Car,2022-08-20 10:14:00
1,B,X70,Car,2022-08-20 12:05:00
2,C,X70,Car,2022-08-20 12:15:00
3,D,X70,Car,2022-08-20 13:45:00
0,D,X71,Tempo,2022-08-20 13:16:00
1,C,X71,Tempo,2022-08-20 14:19:00
2,B,X71,Tempo,2022-08-20 14:42:00
3,A,X71,Tempo,2022-08-20 18:17:00
0,A,X72,Truck,2022-08-20 09:59:00
1,B,X72,Truck,2022-08-20 11:56:00
2,C,X72,Truck,2022-08-20 12:17:00
3,D,X72,Truck,2022-08-20 12:59:00
0,D,X73,Tempo,2022-08-20 09:09:00
1,C,X73,Tempo,2022-08-20 10:23:00
2,B,X73,Tempo,2022-08-20 10:41:00
3,A,X73,Tempo,2022-08-20 14:10:00
0,A,X74,Truck,2022-08-20 14:27:00
1,B,X74,Truck,2022-08-20 16:05:00
2,C,X74,Truck,2022-08-20 16:27:00
3,D,X74,Truck,2022-08-20 17:43:00
0,D,X75,Car,2022-08-20 21:50:00
1,C,X75,Car,2022-08-20 23:11:00
2,B,X75,Car,2022-08-20 23:41:00
3,A,X75,Car,2022-08-21 03:14:00
0,A,X76,Truck,2022-08-20 07:58:00
1,B,X76,Truck,2022-08-20 10:02:00
2,C,X76,Truck,2022-08-20 10:18:00
3,D,X76,Truck,2022-08-20 11:14:00
0,D,X77,Truck,2022-08-20 05:21:00
1,C,X77,Truck,2022-08-20 07:20:00
2,B,X77,Truck,2022-08-20 07:40:00
3,A,X77,Truck,2022-08-20 11:06:00
0,B,X78,Car,2022-08-20 16:45:00
1,C,X78,Car,2022-08-20 17:05:00
2,D,X78,Car,2022-08-20 18:21:00
0,D,X79,Car,2022-08-20 20:57:00
1,C,X79,Car,2022-08-20 21:45:00
2,B,X79,Car,2022-08-20 22:03:00
3,A,X79,Car,2022-08-21 01:47:00
0,A,X80,Truck,2022-08-20 13:39:00
1,B,X80,Truck,2022-08-20 16:01:00
2,C,X80,Truck,2022-08-20 16:27:00
3,D,X80,Truck,2022-08-20 17:31:00
0,D,X81,Tempo,2022-08-20 01:12:00
1,C,X81,Tempo,2022-08-20 02:07:00
2,B,X81,Tempo,2022-08-20 02:31:00
3,A,X81,Tempo,2022-08-20 05:49:00
0,A,X82,Truck,2022-08-20 05:15:00
1,B,X82,Truck,2022-08-20 07:16:00
2,C,X82,Truck,2022-08-20 07:43:00
3,D,X82,Truck,2022-08-20 08:29:00
0,D,X83,Car,2022-08-20 12:55:00
1,C,X83,Car,2022-08-20 13:47:00
2,B,X83,Car,2022-08-20 14:09:00
3,A,X83,Car,2022-08-20 17:53:00
0,B,X84,Tempo,2022-08-20 18:36:00
1,C,X84,Tempo,2022-08-20 19:03:00
2,D,X84,Tempo,2022-08-20 20:10:00
0,D,X85,Truck,2022-08-20 10:06:00
1,C,X85,Truck,2022-08-20 12:53:00
2,B,X85,Truck,2022-08-20 13:12:00
3,A,X85,Truck,2022-08-20 16:26:00
0,A,X86,Car,2022-08-20 11:45:00
1,B,X86,Car,2022-08-20 13:41:00
2,C,X86,Car,2022-08-20 13:54:00
3,D,X86,Car,2022-08-20 14:59:00
0,D,X87,Truck,2022-08-20 03:11:00
1,C,X87,Truck,2022-08-20 05:06:00
2,B,X87,Truck,2022-08-20 05:21:00
3,A,X87,Truck,2022-08-20 09:03:00
0,A,X88,Truck,2022-08-20 16:00:00
1,B,X88,Truck,2022-08-20 18:08:00
2,C,X88,Truck,2022-08-20 18:26:00
3,D,X88,Truck,2022-08-20 19:21:00
0,D,X89,Tempo,2022-08-20 21:04:00
1,C,X89,Tempo,2022-08-20 22:16:00
2,B,X89,Tempo,2022-08-20 22:28:00
3,A,X89,Tempo,2022-08-21 01:29:00
0,A,X90,Tempo,2022-08-20 19:45:00
1,B,X90,Tempo,2022-08-20 21:42:00
2,C,X90,Tempo,2022-08-20 21:59:00
3,D,X90,Tempo,2022-08-20 22:52:00
0,D,X91,Tempo,2022-08-20 04:57:00
1,C,X91,Tempo,2022-08-20 06:05:00
2,B,X91,Tempo,2022-08-20 06:20:00
3,A,X91,Tempo,2022-08-20 10:04:00
0,A,X92,Car,2022-08-20 05:21:00
1,B,X92,Car,2022-08-20 07:24:00
2,C,X92,Car,2022-08-20 07:36:00
3,D,X92,Car,2022-08-20 08:52:00
0,D,X93,Tempo,2022-08-20 04:39:00
1,C,X93,Tempo,2022-08-20 05:38:00
2,B,X93,Tempo,2022-08-20 05:53:00
3,A,X93,Tempo,2022-08-20 09:06:00
0,A,X94,Tempo,2022-08-20 14:27:00
1,B,X94,Tempo,2022-08-20 17:00:00
2,C,X94,Tempo,2022-08-20 17:37:00
3,D,X94,Tempo,2022-08-20 18:18:00
0,D,X95,Truck,2022-08-20 22:25:00
1,C,X95,Truck,2022-08-21 01:36:00
2,B,X95,Truck,2022-08-21 01:58:00
3,A,X95,Truck,2022-08-21 04:24:00
0,A,X96,Tempo,2022-08-20 02:32:00
1,B,X96,Tempo,2022-08-20 04:37:00
2,C,X96,Tempo,2022-08-20 05:04:00
3,D,X96,Tempo,2022-08-20 06:10:00
0,D,X97,Truck,2022-08-20 10:24:00
1,C,X97,Truck,2022-08-20 12:56:00
2,B,X97,Truck,2022-08-20 13:18:00
3,A,X97,Truck,2022-08-20 16:30:00
0,A,X98,Tempo,2022-08-20 21:27:00
1,B,X98,Tempo,2022-08-20 23:15:00
2,C,X98,Tempo,2022-08-20 23:31:00
3,D,X98,Tempo,2022-08-21 00:29:00
0,D,X99,Car,2022-08-20 07:49:00
1,C,X99,Car,2022-08-20 08:40:00
2,B,X99,Car,2022-08-20 08:59:00
3,A,X99,Car,2022-08-20 11:39:00
0,A,X100,Truck,2022-08-20 06:59:00
1,B,X100,Truck,2022-08-20 09:03:00
2,C,X100,Truck,2022-08-20 09:19:00
3,D,X100,Truck,2022-08-20 10:54:00
0,D,X101,Tempo,2022-08-20 16:39:00
1,C,X101,Tempo,2022-08-20 17:53:00
2,B,X101,Tempo,2022-08-20 18:14:00
3,A,X101,Tempo,2022-08-20 21:26:00
0,A,X102,Truck,2022-08-20 09:32:00
1,B,X102,Truck,2022-08-20 11:49:00
2,C,X102,Truck,2022-08-20 12:15:00
3,D,X102,Truck,2022-08-20 12:57:00
0,D,X103,Tempo,2022-08-20 02:46:00
1,C,X103,Tempo,2022-08-20 03:39:00
2,B,X103,Tempo,2022-08-20 03:59:00
3,A,X103,Tempo,2022-08-20 06:32:00
0,A,X104,Car,2022-08-20 04:25:00
1,B,X104,Car,2022-08-20 06:44:00
2,C,X104,Car,2022-08-20 06:57:00
3,D,X104,Car,2022-08-20 07:21:00
0,D,X105,Truck,2022-08-20 23:09:00
1,C,X105,Truck,2022-08-21 01:08:00
2,B,X105,Truck,2022-08-21 01:31:00
3,A,X105,Truck,2022-08-21 05:05:00
0,A,X106,Truck,2022-08-20 22:03:00
1,B,X106,Truck,2022-08-21 00:03:00
2,C,X106,Truck,2022-08-21 00:26:00
3,D,X106,Truck,2022-08-21 01:35:00
0,D,X107,Tempo,2022-08-20 02:49:00
1,C,X107,Tempo,2022-08-20 03:30:00
2,B,X107,Tempo,2022-08-20 03:44:00
3,A,X107,Tempo,2022-08-20 07:24:00
0,A,X108,Car,2022-08-20 10:04:00
1,B,X108,Car,2022-08-20 12:41:00
2,C,X108,Car,2022-08-20 13:01:00
3,D,X108,Car,2022-08-20 13:42:00
0,D,X109,Truck,2022-08-20 17:26:00
1,C,X109,Truck,2022-08-20 20:23:00
2,B,X109,Truck,2022-08-20 20:44:00
3,A,X109,Truck,2022-08-21 00:08:00
0,A,X110,Tempo,2022-08-20 21:53:00
1,B,X110,Tempo,2022-08-20 23:19:00
2,C,X110,Tempo,2022-08-20 23:38:00
3,D,X110,Tempo,2022-08-21 00:30:00
0,D,X111,Car,2022-08-20 07:36:00
1,C,X111,Car,2022-08-20 08:43:00
2,B,X111,Car,2022-08-20 09:06:00
3,A,X111,Car,2022-08-20 12:13:00
0,A,X112,Truck,2022-08-20 04:02:00
1,B,X112,Truck,2022-08-20 05:30:00
2,C,X112,Truck,2022-08-20 05:50:00
3,D,X112,Truck,2022-08-20 06:20:00
0,D,X113,Tempo,2022-08-20 00:06:00
1,C,X113,Tempo,2022-08-20 00:56:00
2,B,X113,Tempo,2022-08-20 01:09:00
3,A,X113,Tempo,2022-08-20 03:55:00
0,A,X114,Tempo,2022-08-20 21:32:00
1,B,X114,Tempo,2022-08-20 23:57:00
2,C,X114,Tempo,2022-08-21 00:19:00
3,D,X114,Tempo,2022-08-21 00:58:00
0,D,X115,Car,2022-08-20 22:24:00
1,C,X115,Car,2022-08-20 22:58:00
2,B,X115,Car,2022-08-20 23:08:00
3,A,X115,Car,2022-08-21 02:08:00
0,A,X116,Car,2022-08-20 13:40:00
1,B,X116,Car,2022-08-20 15:55:00
2,C,X116,Car,2022-08-20 16:16:00
3,D,X116,Car,2022-08-20 17:12:00
0,D,X117,Tempo,2022-08-20 05:59:00
1,C,X117,Tempo,2022-08-20 07:05:00
2,B,X117,Tempo,2022-08-20 07:22:00
3,A,X117,Tempo,2022-08-20 11:23:00
0,A,X118,Truck,2022-08-20 12:44:00
1,B,X118,Truck,2022-08-20 14:32:00
2,C,X118,Truck,2022-08-20 14:52:00
3,D,X118,Truck,2022-08-20 15:35:00
0,D,X119,Tempo,2022-08-20 13:01:00
1,C,X119,Tempo,2022-08-20 13:51:00
2,B,X119,Tempo,2022-08-20 14:10:00
3,A,X119,Tempo,2022-08-20 17:34:00
0,A,X120,Tempo,2022-08-20 19:28:00
1,B,X120,Tempo,2022-08-20 21:23:00
2,C,X120,Tempo,2022-08-20 21:39:00
3,D,X120,Tempo,2022-08-20 22:34:00
0,D,X121,Truck,2022-08-20 12:16:00
1,C,X121,Truck,2022-08-20 15:00:00
2,B,X121,Truck,2022-08-20 15:11:00
3,A,X121,Truck,2022-08-20 18:19:00
0,A,X122,Car,2022-08-20 04:33:00
1,B,X122,Car,2022-08-20 06:32:00
2,C,X122,Car,2022-08-20 06:59:00
3,D,X122,Car,2022-08-20 07:56:00
0,D,X123,Truck,2022-08-20 03:46:00
1,C,X123,Truck,2022-08-20 06:14:00
2,B,X123,Truck,2022-08-20 06:33:00
3,A,X123,Truck,2022-08-20 09:30:00
0,A,X124,Truck,2022-08-20 16:12:00
1,B,X124,Truck,2022-08-20 18:11:00
2,C,X124,Truck,2022-08-20 18:41:00
3,D,X124,Truck,2022-08-20 19:32:00
0,D,X125,Tempo,2022-08-20 20:24:00
1,C,X125,Tempo,2022-08-20 21:13:00
2,B,X125,Tempo,2022-08-20 21:35:00
3,A,X125,Tempo,2022-08-21 01:12:00
0,A,X126,Truck,2022-08-20 15:39:00
1,B,X126,Truck,2022-08-20 17:10:00
2,C,X126,Truck,2022-08-20 17:29:00
3,D,X126,Truck,2022-08-20 18:13:00
0,D,X127,Tempo,2022-08-20 08:31:00
1,C,X127,Tempo,2022-08-20 09:21:00
2,B,X127,Tempo,2022-08-20 09:38:00
3,A,X127,Tempo,2022-08-20 12:54:00
0,A,X128,Truck,2022-08-20 19:17:00
1,B,X128,Truck,2022-08-20 21:25:00
2,C,X128,Truck,2022-08-20 21:48:00
3,D,X128,Truck,2022-08-20 22:43:00
0,D,X129,Tempo,2022-08-20 18:53:00
1,C,X129,Tempo,2022-08-20 19:53:00
2,B,X129,Tempo,2022-08-20 20:14:00
3,A,X129,Tempo,2022-08-20 23:53:00
0,A,X130,Truck,2022-08-20 15:28:00
1,B,X130,Truck,2022-08-20 17:26:00
2,C,X130,Truck,2022-08-20 17:36:00
3,D,X130,Truck,2022-08-20 18:55:00
0,D,X131,Tempo,2022-08-20 03:10:00
1,C,X131,Tempo,2022-08-20 04:27:00
2,B,X131,Tempo,2022-08-20 04:36:00
3,A,X131,Tempo,2022-08-20 08:05:00
0,A,X132,Tempo,2022-08-20 14:12:00
1,B,X132,Tempo,2022-08-20 16:17:00
2,C,X132,Tempo,2022-08-20 16:41:00
3,D,X132,Tempo,2022-08-20 17:20:00
0,D,X133,Car,2022-08-20 19:13:00
1,C,X133,Car,2022-08-20 20:15:00
2,B,X133,Car,2022-08-20 20:28:00
3,A,X133,Car,2022-08-20 23:40:00
0,A,X134,Tempo,2022-08-20 22:13:00
1,B,X134,Tempo,2022-08-21 00:17:00
2,C,X134,Tempo,2022-08-21 00:42:00
3,D,X134,Tempo,2022-08-21 01:11:00
0,D,X135,Car,2022-08-20 04:54:00
1,C,X135,Car,2022-08-20 05:40:00
2,B,X135,Car,2022-08-20 05:56:00
3,A,X135,Car,2022-08-20 09:18:00
0,A,X136,Tempo,2022-08-20 01:44:00
1,B,X136,Tempo,2022-08-20 03:23:00
2,C,X136,Tempo,2022-08-20 03:37:00
3,D,X136,Tempo,2022-08-20 05:02:00
0,D,X137,Tempo,2022-08-20 09:46:00
1,C,X137,Tempo,2022-08-20 10:44:00
2,B,X137,Tempo,2022-08-20 11:11:00
3,A,X137,Tempo,2022-08-20 13:47:00
0,A,X138,Car,2022-08-20 09:58:00
1,B,X138,Car,2022-08-20 11:59:00
2,C,X138,Car,2022-08-20 12:10:00
3,D,X138,Car,2022-08-20 12:48:00
0,D,X139,Car,2022-08-20 20:05:00
1,C,X139,Car,2022-08-20 21:11:00
2,B,X139,Car,2022-08-20 21:32:00
3,A,X139,Car,2022-08-21 00:30:00
0,A,X140,Car,2022-08-20 11:25:00
1,B,X140,Car,2022-08-20 13:48:00
2,C,X140,Car,2022-08-20 14:02:00
3,D,X140,Car,2022-08-20 14:42:00
0,D,X141,Truck,2022-08-20 14:40:00
1,C,X141,Truck,2022-08-20 17:19:00
2,B,X141,Truck,2022-08-20 17:37:00
3,A,X141,Truck,2022-08-20 21:09:00
0,A,X142,Tempo,2022-08-20 13:25:00
1,B,X142,Tempo,2022-08-20 14:38:00
2,C,X142,Tempo,2022-08-20 14:57:00
3,D,X142,Tempo,2022-08-20 15:42:00
0,D,X143,Truck,2022-08-20 00:37:00
1,C,X143,Truck,2022-08-20 02:53:00
2,B,X143,Truck,2022-08-20 03:15:00
3,A,X143,Truck,2022-08-20 06:04:00
0,A,X144,Truck,2022-08-20 14:19:00
1,B,X144,Truck,2022-08-20 16:57:00
2,C,X144,Truck,2022-08-20 17:25:00
3,D,X144,Truck,2022-08-20 18:10:00
0,D,X145,Truck,2022-08-20 19:58:00
1,C,X145,Truck,2022-08-20 22:23:00
2,B,X145,Truck,2022-08-20 22:36:00
3,A,X145,Truck,2022-08-21 01:14:00
0,B,X146,Car,2022-08-20 07:50:00
1,C,X146,Car,2022-08-20 08:07:00
2,D,X146,Car,2022-08-20 09:38:00
0,D,X147,Tempo,2022-08-20 22:01:00
1,C,X147,Tempo,2022-08-20 23:09:00
2,B,X147,Tempo,2022-08-20 23:32:00
3,A,X147,Tempo,2022-08-21 02:52:00
0,A,X148,Car,2022-08-20 10:09:00
1,B,X148,Car,2022-08-20 12:10:00
